group_name,name_romanji,current_tier,spotify_popularity,spotify_followers,composite_followers_plus_pop100,assignment,manual_tier,vs_fan_floor_2822,gap_vs_fan_floor,flag_high_pop_low_fans,flag_low_pop_high_fans
MAGMAZ,MAGMAZ,E,16,1904,3504,inferred,,< fan_floor,-918,,
アイドルカレッジ,,E,12,2296,3496,inferred,,< fan_floor,-526,,
AsIs,AsIs,E,22,1293,3493,manual,E,< fan_floor,-1529,,
DIAVEL,,E,21,1382,3482,inferred,,< fan_floor,-1440,,
STARMARIE,STARMARIE,D,5,2929,3429,manual,D,>= fan_floor,107,,Y
HIBANA,HIBANA,E,23,1102,3402,inferred,,< fan_floor,-1720,,
美味しい曖昧,Aimai,E,12,2201,3401,inferred,,< fan_floor,-621,,
エラバレシ,Erabareshi,E,11,2194,3294,inferred,,< fan_floor,-628,,
カラフルスクリーム,,E,17,1588,3288,inferred,,< fan_floor,-1234,,
あっとせぶんてぃーん,@17,E,15,1782,3282,inferred,,< fan_floor,-1040,,
パラディーク,Paradeeq,E,18,1416,3216,manual,E,< fan_floor,-1406,,
カイジューバイミー,,E,18,1404,3204,inferred,,< fan_floor,-1418,,
#Mooove!,Mooove!,E,14,1789,3189,inferred,,< fan_floor,-1033,,
さとりモンスター,,E,13,1867,3167,inferred,,< fan_floor,-955,,
#ジューロック,,E,13,1854,3154,inferred,,< fan_floor,-968,,
透色ドロップ,,E,12,1831,3031,inferred,,< fan_floor,-991,,
さよならステイチューン,,E,15,1521,3021,inferred,,< fan_floor,-1301,,
太陽と踊れ月夜に唄え,UTA,E,15,1513,3013,inferred,,< fan_floor,-1309,,
クララ・マグラ,,E,19,1111,3011,inferred,,< fan_floor,-1711,,
にっぽんワチャチャ,Nippon_Wachacha,E,10,1957,2957,inferred,,< fan_floor,-865,,
KiSS KiSS,KiSS_KiSS,E,9,2025,2925,inferred,,< fan_floor,-797,,
めろん畑a go go,,E,8,2082,2882,inferred,,< fan_floor,-740,,
月刊PAM,,E,18,1069,2869,inferred,,< fan_floor,-1753,,
Toi Toi Toi,Toi_Toi_Toi,E,18,1057,2857,inferred,,< fan_floor,-1765,,
AOAO,AOAO,E,19,909,2809,inferred,,< fan_floor,-1913,,
Tohkei,Tohkei,E,18,989,2789,inferred,,< fan_floor,-1833,,
かすみ草とステラ,,E,12,1573,2773,inferred,,< fan_floor,-1249,,
EMPATHY,EMPATHY,E,11,1644,2744,inferred,,< fan_floor,-1178,,
SOMOSOMO,SOMOSOMO,E,10,1743,2743,inferred,,< fan_floor,-1079,,
ambitious,Ambitious,E,8,1932,2732,inferred,,< fan_floor,-890,,
棘-おどろ-,,E,13,1417,2717,inferred,,< fan_floor,-1405,,
hakanai,Hakanai,E,16,1113,2713,manual,E,< fan_floor,-1709,,
グデイ,,E,11,1612,2712,inferred,,< fan_floor,-1210,,
イケてるハーツ,,E,6,2080,2680,inferred,,< fan_floor,-742,,
MiiS,MiiS,E,8,1876,2676,inferred,,< fan_floor,-946,,
selfish,Selfish,E,17,961,2661,inferred,,< fan_floor,-1861,,
AQ,AQ,E,15,1142,2642,inferred,,< fan_floor,-1680,,
CAL&RES,CAL&RES,E,15,1116,2616,inferred,,< fan_floor,-1706,,
9DayzGlitchClubTokyo,9DayzGlitchClubTokyo,E,12,1411,2611,inferred,,< fan_floor,-1411,,
fancylabo,,E,8,1807,2607,inferred,,< fan_floor,-1015,,
点染テンセイ少女。,Tensen Tensei Shoujo.,E,16,999,2599,manual,E,< fan_floor,-1823,,
われらがプワプワプーワプワ,Wareraga_Puwapuwapuuwapuwa,E,15,1065,2565,inferred,,< fan_floor,-1757,,
MAGICAL SPEC,MAGICAL_SPEC,E,15,1051,2551,inferred,,< fan_floor,-1771,,
O'CHAWANZ HIP-HOP COLLEGE,O'CHAWANZ,E,10,1544,2544,inferred,,< fan_floor,-1278,,
Finally,Finally,E,11,1431,2531,manual,E,< fan_floor,-1391,,
電影と少年CQ,Shounen,E,8,1727,2527,inferred,,< fan_floor,-1095,,
RIRYDAY,RIRYDAY,E,8,1724,2524,inferred,,< fan_floor,-1098,,
パラレルサイダー,,E,17,822,2522,inferred,,< fan_floor,-2000,,
Finger Runs,Finger_Runs,E,9,1613,2513,inferred,,< fan_floor,-1209,,
963,963,E,3,2205,2505,inferred,,< fan_floor,-617,,
I MY ME MINE,I_MY_ME_MINE,E,9,1569,2469,inferred,,< fan_floor,-1253,,
ピュアリーモンスター,,E,7,1727,2427,inferred,,< fan_floor,-1095,,
Root mimi,Root mimi,E,16,827,2427,inferred,,< fan_floor,-1995,,
スワンスワンズ,,E,15,921,2421,inferred,,< fan_floor,-1901,,
UNBS,UNBS,E,9,1519,2419,inferred,,< fan_floor,-1303,,
PASTEL RADIO,PASTEL_RADIO,E,16,809,2409,inferred,,< fan_floor,-2013,,
ラナキュラ,,E,15,904,2404,inferred,,< fan_floor,-1918,,
HIGH SPIRITS,HIGH_SPIRITS,E,11,1288,2388,inferred,,< fan_floor,-1534,,
KRD8,KRD8,E,8,1578,2378,manual,E,< fan_floor,-1244,,
may in film,May_in_film,E,9,1450,2350,inferred,,< fan_floor,-1372,,
8bitBRAIN,8bitBRAIN,E,6,1741,2341,inferred,,< fan_floor,-1081,,
.LiNIXLiNE.,,E,15,826,2326,inferred,,< fan_floor,-1996,,
XOXO EXTREME,XOXO_EXTREME,E,6,1719,2319,inferred,,< fan_floor,-1103,,
HiiT Factory,FACTORY,E,15,813,2313,inferred,,< fan_floor,-2009,,
MAGICOUR,MAGICOUR,E,2,2062,2262,inferred,,< fan_floor,-760,,
ルルネージュ,,E,10,1229,2229,inferred,,< fan_floor,-1593,,
NaNoMoRaL,NaNoMoRaL,E,7,1457,2157,inferred,,< fan_floor,-1365,,
yumegiwa last girl,Yumegiwa_last_girl,E,5,1642,2142,inferred,,< fan_floor,-1180,,
ネコプラpixx.,,E,8,1319,2119,inferred,,< fan_floor,-1503,,
ワッツ◎さーくる,,E,8,1248,2048,inferred,,< fan_floor,-1574,,
BANZAI JAPAN,BANZAI_JAPAN,E,4,1629,2029,inferred,,< fan_floor,-1193,,
BABY-CRAYON〜1361〜,BABY-CRAYON~1361~,E,6,1382,1982,inferred,,< fan_floor,-1440,,
DREAMING MONSTER,DREAMING_MONSTER,E,7,1281,1981,inferred,,< fan_floor,-1541,,
終わらないで、夜,,E,5,1433,1933,inferred,,< fan_floor,-1389,,
CHICKEN BLOW THE IDOL,CHICKEN_BLOW_THE_IDOL,E,6,1329,1929,manual,E,< fan_floor,-1493,,
CUBΣLIC,CUBΣLIC,E,7,1213,1913,inferred,,< fan_floor,-1609,,
MANACLE,MANACLE,E,4,1445,1845,inferred,,< fan_floor,-1377,,
READY TO KISS,READY_TO_KISS,E,4,1351,1751,manual,E,< fan_floor,-1471,,
iSPY,ISPY,E,4,1314,1714,inferred,,< fan_floor,-1508,,
JUGS MAFIA,JUGS_MAFIA,E,4,1221,1621,manual,E,< fan_floor,-1601,,
Five emotion,Five_emotion,E,2,1342,1542,inferred,,< fan_floor,-1480,,
NILKLY,NILKLY,E,1,1418,1518,inferred,,< fan_floor,-1404,,
外神田いっちょめ,,E,2,1239,1439,inferred,,< fan_floor,-1583,,
